category,title,description,image,price,part_number,url
Vertex Networking,M0T01A - HP MSA 2040 Energy Star SAS Dual Controller with 24 1.2TB 12g SAS 10k SFF HDD 28.8TB Bundle,M0T01A - HP MSA 2040 Energy Star SAS Dual Controller with 24 1.2TB 12g SAS 10k SFF HDD 28.8TB Bundle Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d346ada_M0T01A.webp,"$21,860.00",M0T01A,https://www.vertexnetworking.co.uk/product/m0t01a-hp-msa-2040-energy-star-sas-dual-controller-with-24-1-2tb-12g-sas-10k-sff-hdd-28-8tb-bundle.html
Vertex Networking,64116B4 - Lenovo S3200 SFF Chassis Dual Fibre Channel and iSCSI Controller Rack Kit,64116B4 - Lenovo S3200 SFF Chassis Dual Fibre Channel and iSCSI Controller Rack Kit Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d2ef64b_Microcontroller-Gen.webp,$470.00,64116B4,https://www.vertexnetworking.co.uk/product/64116b4-lenovo-s3200-sff-chassis-dual-fibre-channel-and-iscsi-controller-rack-kit.html
Vertex Networking,HP - M0T00A - MSA 2040 SFF 24-bays 28.8TB (24 x 1.2TB) HDD SAS 12Gbps SAN Dual Controller 2U Rack-mountable Storage Array,HP - M0T00A - MSA 2040 SFF 24-bays 28.8TB (24 x 1.2TB) HDD SAS 12Gbps SAN Dual Controller 2U Rack-mountable Storage Array Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d37e422_M0T00A.webp,"$12,372.85",M0T00A,https://www.vertexnetworking.co.uk/product/m0t00a-hp-msa-2040-energy-star-san-dual-controller-with-24-1-2tb-12g-sas-10k-sff-hdd-28-8tb-bundle.html
Vertex Networking,AV451A - HP 32GB Cache Backup SSD Memory Module for StorageWorks P9500 Disk Array,AV451A - HP 32GB Cache Backup SSD Memory Module for StorageWorks P9500 Disk Array Product Condition: Refurbished General Information Product Type Solid State Drive Technical Information Storage Capacity 32 GB Drive Type Internal Miscellaneous Assembly Required No Eco Friendly Yes,https://www.vertexnetworking.co.uk/storage/product_images/677915d45d0d7_AV451A.webp,$139.30,AV451A,https://www.vertexnetworking.co.uk/product/av451a-hp-32gb-cache-backup-ssd-memory-module-for-storageworks-p9500-disk-array.html
Vertex Networking,64116B2 - Lenovo Storage S3200 LFF Chassis Dual Fibre Channel and iSCSI Controller,64116B2 - Lenovo Storage S3200 LFF Chassis Dual Fibre Channel and iSCSI Controller Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d514a5a_Network-Storage-Array-Gen.webp,"$2,787.00",64116B2,https://www.vertexnetworking.co.uk/product/64116b2-lenovo-storage-s3200-lff-chassis-dual-fibre-channel-and-iscsi-controller.html
Vertex Networking,Dell - 8TTVC - Compellent Series C40 CT-040 16-Bay iSCSI Rack-Mountable SAN Storage Array,Dell - 8TTVC - Compellent Series C40 CT-040 16-Bay iSCSI Rack-Mountable SAN Storage Array Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d4db158_8TTVC.webp,"$1,353.00",8TTVC,https://www.vertexnetworking.co.uk/product/8ttvc-dell-compellent-series-c40-ct-040-san-storage-system-controller-enclosure.html
Vertex Networking,H1142VCA - Apple VTrak E-Class H1142VCA Hard Drive Array - 16 x HDD Installed - 32 TB Installed HDD Capacity - Serial Attached SCSI SAS Controller,H1142VCA - Apple VTrak E-Class H1142VCA Hard Drive Array - 16 x HDD Installed - 32 TB Installed HDD Capacity - Serial Attached SCSI SAS Controller - Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d1d97bf_Network-Storage-Array-Gen.webp,"$15,297.00",H1142VC/A,https://www.vertexnetworking.co.uk/product/h1142vc-a-apple-vtrak-e-class-h1142vc-a-hard-drive-array-16-x-hdd-installed-32-tb-installed-hdd-capacity-serial-attached-scsi-sas-controller.html
Vertex Networking,HP - AJ746A - StorageWorks MSA2012i 12-Bay Single iSCSI Controller Storage Array,HP - AJ746A - StorageWorks MSA2012i 12-Bay Single iSCSI Controller Storage Array Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d54d788_AJ746A.webp,"$2,000.00",AJ746A,https://www.vertexnetworking.co.uk/product/aj746a-hp-storageworks-2012i-modular-enclosure-network-storage-enclosure-48-x-3-5-inch-1-3h-rack-mountable.html
Vertex Networking,HP - AJ798A - G2 StorageWorks 2-Ports SATA 3Gb/s SAS Fibre Channel 4Gb/s Disk Array Controller,"HP - AJ798A - G2 StorageWorks 2-Ports SATA 3Gb/s SAS Fibre Channel 4Gb/s Disk Array Controller Product Condition: Refurbished General Information Product Type Fibre Channel Controller Technical Information Host Interface Fibre Channel Form Factor Internal Miscellaneous Compliance Standards CE,RoHS,REACH Assembly Required Yes Eco Friendly Yes OS Platform PC",https://www.vertexnetworking.co.uk/storage/product_images/677915d3d1fa3_Raid-Controller-Gen.webp,$442.77,AJ798A,https://www.vertexnetworking.co.uk/product/aj798a-hp-storageworks-modular-smart-array-msa2300fc-g2-fiber-channel-storage-raid-controller.html
Vertex Networking,64114B2 - Lenovo S2200 LFF Chassis Dual Fibre Channel and iSCSI Controller,64114B2 - Lenovo S2200 LFF Chassis Dual Fibre Channel and iSCSI Controller Product Condition: Refurbished General Information Product Type Server Technical Information Ethernet Standard Gigabit Ethernet Redundant Source of Power Yes Input Voltage 100-240 V Quantity of Processor Supported 1 Built-in Processor Core Dual-core (2 Core) Miscellaneous Assembly Required Yes Eco Friendly Yes,https://www.vertexnetworking.co.uk/storage/product_images/677915d3e0ac8_ALL-Servers.webp,"$2,095.00",64114B2,https://www.vertexnetworking.co.uk/product/64114b2-lenovo-s2200-lff-chassis-dual-fibre-channel-and-iscsi-controller.html
